Date,Name,Year,Letterboxd URI
2025-12-20,Judgment at Nuremberg,1961,https://boxd.it/29xc
2025-12-20,Seconds,1966,https://boxd.it/1Dbe
2025-12-20,The Hustler,1961,https://boxd.it/298G
2025-12-20,"One, Two, Three",1961,https://boxd.it/2ap4
2025-12-20,Closely Watched Trains,1966,https://boxd.it/29Cm
2025-12-20,The Collector,1965,https://boxd.it/W8Q
2025-12-20,Lolita,1962,https://boxd.it/29Ag
2025-12-20,Something Wild,1961,https://boxd.it/2UtQ
2025-12-20,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,1965,https://boxd.it/1Wvs
2025-12-20,Tokyo Story,1953,https://boxd.it/1HuY
2025-12-20,Seven Samurai,1954,https://boxd.it/2axi
2025-12-20,Red Beard,1965,https://boxd.it/251m
2025-12-20,Army of Shadows,1969,https://boxd.it/1Mli
2025-12-20,Psycho,1960,https://boxd.it/2ab2
2025-12-20,Kikujiro,1999,https://boxd.it/24xc
2025-12-20,Twilight,1990,https://boxd.it/3Igi
2025-12-20,Kolya,1996,https://boxd.it/29Da
2025-12-20,The Last of the Mohicans,1992,https://boxd.it/1YSo
2025-12-20,"Paris, Texas",1984,https://boxd.it/29Ts
2025-12-20,Streetwise,1984,https://boxd.it/XKw
2025-12-20,Repentance,1984,https://boxd.it/3lRg
2025-12-20,Dead Man's Letters,1986,https://boxd.it/2wKy
2025-12-20,Down by Law,1986,https://boxd.it/28CA
2025-12-20,Santa Sangre,1989,https://boxd.it/1FrI
2025-12-20,My Friend Ivan Lapshin,1985,https://boxd.it/2VRE
2025-12-20,My Life as a Dog,1985,https://boxd.it/1ZOM
2025-12-20,Stranger Than Paradise,1984,https://boxd.it/2ajU
2025-12-20,The Secret of NIMH,1982,https://boxd.it/1Tc8
2025-12-20,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4
2025-12-20,Monster,2023,https://boxd.it/DJEM
2025-12-20,The Eight Mountains,2022,https://boxd.it/ufRe
2025-12-20,The Beasts,2022,https://boxd.it/w1L6
2025-12-20,Nowhere Special,2020,https://boxd.it/riz2
2025-12-20,Bugonia,2025,https://boxd.it/qeWY
2025-12-20,Touch,2024,https://boxd.it/D3u6
2025-12-20,Licorice Pizza,2021,https://boxd.it/qTKY
2025-12-20,The Mastermind,2025,https://boxd.it/Q7ge
2025-12-20,Manila in the Claws of Light,1975,https://boxd.it/2taM
2025-12-20,Benilde or the Virgin Mother,1975,https://boxd.it/568Y
2025-12-20,"Blue Mountains, or Unbelievable Story",1983,https://boxd.it/4yLs
2025-12-20,The Boys of Paul Street,1969,https://boxd.it/10gO
2025-12-20,The Silence,1963,https://boxd.it/1TH6
2025-12-20,Summer with Monika,1953,https://boxd.it/JZC
2025-12-20,Through a Glass Darkly,1961,https://boxd.it/1TrW
2025-12-20,Wild Strawberries,1957,https://boxd.it/29ZU
2025-12-20,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2025-12-20,Kes,1969,https://boxd.it/1Qi8
2025-12-20,Alice in the Cities,1974,https://boxd.it/27cG
2025-12-20,Kings of the Road,1976,https://boxd.it/1Vhk
2025-12-20,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2025-12-20,Land of Silence and Darkness,1971,https://boxd.it/bhG
2025-12-20,Wings of Desire,1987,https://boxd.it/2b26
2025-12-20,The Tree of Wooden Clogs,1978,https://boxd.it/1iRI
2025-12-20,Il Posto,1961,https://boxd.it/1iqC
2025-12-20,The Fiancés,1963,https://boxd.it/1Jq
2025-12-20,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-12-20,Come and See,1985,https://boxd.it/1w9q
2025-12-20,"Khrustalyov, My Car!",1998,https://boxd.it/3rPg
2025-12-20,Good-for-Nothing,1960,https://boxd.it/38gQ
2025-12-20,The Great White Tower,1966,https://boxd.it/7LiO
2025-12-20,Tokyo Twilight,1957,https://boxd.it/sq6
2025-12-20,"I, the Executioner",1968,https://boxd.it/47rA
2025-12-20,The Insect Woman,1963,https://boxd.it/VAE
2025-12-20,Pigs and Battleships,1961,https://boxd.it/1jQG
2025-12-20,The Pornographers,1966,https://boxd.it/Wco
2025-12-20,Capernaum,2018,https://boxd.it/iM3s
2025-12-20,Godland,2022,https://boxd.it/Ag9E
2025-12-20,A Hidden Life,2019,https://boxd.it/eb1Q
2025-12-20,The Handmaiden,2016,https://boxd.it/948A
2025-12-20,Gran Torino,2008,https://boxd.it/1Qzy
2025-12-20,Loveless,2017,https://boxd.it/fcFa
2025-12-20,A Serious Man,2009,https://boxd.it/1RFW
