Date,Name,Year,Letterboxd URI
2026-01-05,One Battle After Another,2025,https://boxd.it/DUHM
2026-01-05,Anora,2024,https://boxd.it/Egcw
2026-01-05,Dune: Part Two,2024,https://boxd.it/pUfA
2026-01-05,Godzilla Minus One,2023,https://boxd.it/zu4c
2026-01-05,The Promised Land,2023,https://boxd.it/B1hA
2026-01-05,Oppenheimer,2023,https://boxd.it/wUow
2026-01-05,The Zone of Interest,2023,https://boxd.it/gJsA
2026-01-05,BEEF,2023,https://boxd.it/FPsm
2026-01-05,Past Lives,2023,https://boxd.it/oNB8
2026-01-05,Babylon,2022,https://boxd.it/mM02
2026-01-05,All Quiet on the Western Front,2022,https://boxd.it/H08
2026-01-05,Glass Onion,2022,https://boxd.it/oCkK
2026-01-05,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2026-01-05,Athena,2022,https://boxd.it/waii
2026-01-05,Nope,2022,https://boxd.it/sDCe
2026-01-05,Aftersun,2022,https://boxd.it/Arw0
2026-01-05,Return to Seoul,2022,https://boxd.it/zXDg
2026-01-05,Decision to Leave,2022,https://boxd.it/qp9e
2026-01-05,Plan 75,2022,https://boxd.it/Ac0I
2026-01-05,RRR,2022,https://boxd.it/ljDs
2026-01-05,Dune,2021,https://boxd.it/fA7G
2026-01-05,The Green Knight,2021,https://boxd.it/kuy2
2026-01-05,Drive My Car,2021,https://boxd.it/sv94
2026-01-05,Riders of Justice,2020,https://boxd.it/oHQc
2026-01-05,After Yang,2021,https://boxd.it/lx5a
2026-01-05,The Worst Person in the World,2021,https://boxd.it/oyws
2026-01-05,Dear Comrades!,2020,https://boxd.it/lCs4
2026-01-05,Nomadland,2020,https://boxd.it/lnRy
2026-01-05,Another Round,2020,https://boxd.it/lkba
2026-01-05,Normal People,2020,https://boxd.it/q2VY
2026-01-05,Shiva Baby,2020,https://boxd.it/oIv0
2026-01-05,The Father,2020,https://boxd.it/m8Ie
2026-01-05,Palm Springs,2020,https://boxd.it/lCXQ
2026-01-05,Jojo Rabbit,2019,https://boxd.it/iEBG
2026-01-05,Sound of Metal,2019,https://boxd.it/i7Q4
2026-01-05,Hope,2019,https://boxd.it/mNCw
2026-01-05,Martin Eden,2019,https://boxd.it/lqNO
2026-01-05,Tune in for Love,2019,https://boxd.it/kVUO
