Date,Name,Year,Letterboxd URI,Rating
2025-03-26,The Passion of Joan of Arc,1928,https://boxd.it/29DO,5
2025-03-26,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2025-03-26,To Be or Not to Be,1942,https://boxd.it/2aTy,5
2025-03-26,Ikiru,1952,https://boxd.it/251c,5
2025-03-26,Rear Window,1954,https://boxd.it/2a6Q,5
2025-03-26,Harakiri,1962,https://boxd.it/1NTU,5
2025-03-26,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2025-03-26,Once Upon a Time in the West,1968,https://boxd.it/2az4,5
2025-03-26,The Cremator,1969,https://boxd.it/1H8y,5
2025-03-26,The Godfather Part II,1974,https://boxd.it/2aNq,5
2025-03-26,The Godfather,1972,https://boxd.it/2aNK,5
2025-03-26,Mirror,1975,https://boxd.it/28Q8,5
2025-03-26,The Fifth Seal,1976,https://boxd.it/2GNW,5
2025-03-26,State of Siege,1972,https://boxd.it/3dao,5
2025-03-26,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2025-03-26,Where Is the Friend's House?,1987,https://boxd.it/ELg,5
2025-03-26,La Haine,1995,https://boxd.it/2as8,5
2025-03-26,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2025-03-26,Taste of Cherry,1997,https://boxd.it/1m8W,5
2025-03-26,Princess Mononoke,1997,https://boxd.it/2b4w,5
2025-03-26,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2025-03-26,The Dark Knight,2008,https://boxd.it/2b0k,5
2025-03-26,Werckmeister Harmonies,2000,https://boxd.it/1zzw,5
2025-03-26,The Prestige,2006,https://boxd.it/293w,5
2025-03-26,Howl's Moving Castle,2004,https://boxd.it/23De,5
2025-03-26,The Prince of Egypt,1998,https://boxd.it/1XGQ,5
2025-03-26,The Son,2002,https://boxd.it/1cG0,5
2025-03-26,Poetry,2010,https://boxd.it/JAs,5
2025-03-26,Inception,2010,https://boxd.it/1skk,5
2025-03-26,Shame,2011,https://boxd.it/2CxU,5
2025-03-26,The Hunt,2012,https://boxd.it/3wEC,5
2025-03-26,12 Years a Slave,2013,https://boxd.it/2D2e,5
2025-03-26,Silence,2016,https://boxd.it/2cAo,5
2025-03-26,Phantom Thread,2017,https://boxd.it/e4uc,5
2025-03-26,Parasite,2019,https://boxd.it/hTha,5
